block,trial,!step,bgr,wgr,style,stim,loc,time,stim,loc,time,*
7,161,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
7,162,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
7,163,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
7,164,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target1,"0,0,0","rt:18,23",*
7,165,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject1,"0,0,0","rt:23,18",*
7,166,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,167,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,168,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,169,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,170,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,171,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,172,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,173,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,174,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,175,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,176,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,177,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,178,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,179,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,180,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,181,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,182,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,183,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
7,184,step5,2,10,1,#a2t1-a1t2,"0,1,1",0,$target2,"0,0,0","rt:23,18",*
7,185,step5,2,11,1,#a2t1-a1t2,"0,1,1",0,$adject2,"0,0,0","rt:18,23",*
8,186,end,0,0,1,Instruction_end,"0,0,0",rt:207,*,,,
